epoch,loss
0,0.8562965393066406
1,0.7733693718910217
2,0.7442132830619812
3,0.7209742665290833
4,0.7009519338607788
5,0.6831656694412231
6,0.6665329337120056
7,0.6513895988464355
8,0.6375486850738525
9,0.625749409198761
10,0.6163023710250854
11,0.6077736020088196
12,0.6007372736930847
13,0.5941009521484375
14,0.5885255932807922
15,0.5836295485496521
16,0.5797624588012695
17,0.575835645198822
18,0.5738211274147034
19,0.5714199542999268
20,0.5681889057159424
21,0.5661430358886719
22,0.5648900270462036
23,0.5631006360054016
24,0.5612156987190247
25,0.5590938329696655
26,0.559323787689209
27,0.5575554966926575
28,0.5568711161613464
29,0.5549682974815369
30,0.5548661351203918
31,0.5540383458137512
32,0.553769052028656
33,0.5531587600708008
34,0.5520513653755188
35,0.551992654800415
36,0.5518755912780762
37,0.5519315600395203
38,0.5515359044075012
39,0.5508947968482971
40,0.5505509972572327
41,0.5519277453422546
42,0.5521815419197083
43,0.5520976781845093
44,0.5528317093849182
45,0.5523526668548584
